bedrooms,bathrms,stories,lotsize,price
3,1,2,5850,42000
2,1,1,4000,38500
3,1,1,3060,49500
3,1,2,6650,60500
2,1,1,6360,61000
3,1,1,4160,66000
3,2,2,3880,66000
3,1,3,4160,69000
3,1,1,4800,83800
3,2,4,5500,88500
3,2,1,7200,90000
2,1,1,3000,30500
3,1,2,1700,27000
3,1,1,2880,36000
2,1,1,3600,37000
2,1,1,3185,37900
3,1,2,3300,40500
4,1,3,5200,40750
1,1,1,3450,45000
2,2,1,3986,45000
3,1,2,4785,48500
4,2,2,4510,65900
3,1,2,4000,37900
2,1,1,3934,38000
2,1,1,4960,42000
2,1,2,3000,42300
2,1,1,3800,43500
2,1,1,4960,44000
3,1,1,3000,44500
3,1,2,4500,44900
2,1,1,3500,45000
4,1,2,3500,48000
2,1,1,4000,49000
2,1,1,4500,51500
2,1,2,6360,61000
2,1,1,4500,61000
2,1,1,4032,61700
3,1,4,5170,67000
4,2,2,5400,82000
2,2,1,3150,54500
3,1,2,3745,66500
3,1,2,4520,70000
4,1,2,4640,82000
5,3,2,8580,92000
2,1,2,2000,38000
3,1,2,2160,44000
2,1,1,3040,41000
3,1,2,3090,43000
4,1,3,4960,48000
3,1,2,3350,54800
5,2,2,5300,55000
4,1,1,4100,57000
2,1,1,9166,68000
3,1,2,4040,95000
3,3,2,3630,38000
2,1,1,3620,25000
3,1,1,2400,25245
3,2,1,7260,56000
3,1,2,4400,35500
3,1,2,2400,30000
2,1,2,4120,48000
2,1,1,4750,48000
2,1,1,4280,52000
3,1,2,4820,54000
4,1,2,5500,56000
3,1,2,5500,60000
3,1,2,5040,60000
2,1,1,6000,67000
2,1,1,2500,47000
3,1,2,4095,70000
2,1,1,4095,45000
3,1,2,3150,51000
2,1,1,1836,32500
3,1,2,2475,34000
3,1,2,3210,35000
3,1,1,3180,36000
3,1,2,1650,45000
4,1,2,3180,47000
2,2,1,3180,55000
2,1,1,6360,63900
3,1,2,4240,50000
2,1,1,3240,35000
3,1,2,3650,50000
3,1,2,3240,43000
2,1,2,3780,55500
3,1,2,6480,57000
2,1,1,5850,60000
3,2,1,3150,78000
2,1,1,3000,35000
2,1,1,3090,44000
3,1,1,6060,47000
4,2,2,5900,58000
4,1,2,7420,163000
3,2,4,8500,128000
3,1,1,8050,123500
2,1,1,6800,39000
3,1,1,8250,53900
3,1,1,8250,59900
2,1,1,3500,35000
2,1,1,2835,43000
3,2,2,4500,57000
3,3,2,3300,79000
3,1,2,4320,125000
4,2,2,3500,132000
3,2,2,4992,58000
2,1,1,4600,43000
2,1,1,3720,48000
3,2,2,3680,58500
3,2,2,3000,73000
2,1,1,3750,63500
3,1,1,5076,43000
2,1,1,4500,46500
3,1,2,5000,92000
4,1,2,4260,75000
4,2,2,6540,75000
4,1,2,3700,85000
3,1,2,3760,93000
3,2,2,4000,94500
3,2,2,4300,106500
5,1,2,6840,116000
2,1,1,4400,61500
4,2,2,10500,80000
2,1,1,4400,37000
3,1,2,4840,59500
2,1,1,4120,70000
4,2,2,4260,95000
3,3,2,5960,117000
3,2,2,8800,122500
3,2,2,4560,123500
3,2,2,4600,127000
2,1,2,4840,35000
3,1,2,3850,44500
3,1,2,4900,49900
3,1,1,3850,50500
3,1,1,3760,65000
4,2,4,6000,90000
3,1,2,4370,46000
2,1,1,7700,35000
2,1,1,2990,26500
3,1,2,3750,43000
3,1,2,3000,56000
3,1,2,2650,40000
4,2,2,4500,51000
2,1,1,4500,51000
3,1,2,4500,57250
2,1,2,4500,44000
3,1,2,2175,61000
3,2,3,4500,62000
5,2,3,4800,80000
4,1,2,4600,50000
3,1,2,3450,59900
3,1,2,3000,35500
2,2,2,3600,37000
3,1,2,3600,42000
3,1,1,3750,48000
4,3,2,2610,60000
3,1,2,2953,60000
4,2,2,2747,60000
5,1,2,1905,62000
3,1,2,3968,63000
3,1,2,3162,63900
4,1,2,6000,130000
3,1,1,2910,25000
3,2,2,2135,50000
3,1,2,3120,52900
3,1,1,4075,62000
3,1,2,3410,73500
3,1,1,2800,38000
2,1,1,2684,46000
3,1,2,3100,48000
2,1,1,3630,52500
3,1,1,1950,32000
3,1,1,2430,38000
3,1,1,4320,46000
3,1,2,3036,50000
3,2,2,3630,57500
4,1,2,5400,70000
4,2,2,3420,69900
3,2,2,3180,74500
4,1,2,3660,42000
2,1,1,4410,60000
3,1,2,3990,50000
3,1,1,4340,58000
3,1,2,3510,63900
5,1,2,3420,28000
2,1,2,3420,54000
3,1,1,5495,44700
4,1,2,3480,47000
3,1,1,7424,50000
4,1,2,3460,57250
3,1,2,3630,67000
2,1,1,3630,52500
3,1,2,3480,42000
3,2,1,3460,57500
2,1,1,3180,33000
2,1,1,3635,34400
3,1,1,3960,40000
3,1,2,4350,40500
2,1,1,3930,46500
3,1,2,3570,52000
3,1,1,3600,53000
5,2,1,2520,53900
3,1,1,3480,50000
4,2,2,3180,55500
2,1,1,3290,56000
4,2,2,4000,60000
3,1,2,2325,60000
2,1,1,4350,69500
2,1,1,3540,72000
3,1,1,3960,92500
2,1,1,2640,40500
2,1,1,2700,42000
3,1,1,2700,47900
3,1,2,3180,52000
4,1,2,3500,62000
2,1,1,3630,41000
4,3,2,6000,138300
3,1,2,3150,42000
4,1,2,3792,47000
3,1,3,3510,64500
3,1,2,3120,46000
4,1,3,3000,58000
3,1,2,4200,70100
4,2,2,2817,78500
4,1,3,3240,87250
3,2,2,2800,70800
2,1,1,3816,56000
2,1,1,3185,48000
3,1,2,6321,68000
3,2,2,3650,79000
4,1,2,4700,80000
4,2,2,6615,87000
3,1,2,3850,25000
1,1,1,3970,32500
2,1,2,3000,36000
4,1,2,4352,42500
4,1,2,3630,43000
6,1,2,3600,50000
2,1,1,3000,26000
4,1,2,3000,30000
4,2,2,2787,34000
2,1,2,3000,52000
3,1,1,4770,70000
2,1,1,3649,27000
3,1,2,3970,32500
2,1,1,2910,37200
2,1,1,3480,38000
3,1,2,6615,42000
2,1,1,3500,44500
3,1,2,3450,45000
3,1,1,3450,48500
2,2,1,3520,52000
4,1,2,6930,53900
3,2,2,4600,60000
4,1,2,4360,61000
3,1,2,3450,64500
4,3,2,4410,71000
2,2,1,4600,75500
2,1,1,3640,33500
2,1,1,6000,41000
4,1,2,5400,41000
4,1,2,3640,46200
2,1,1,3640,48500
2,1,1,4040,48900
2,1,1,3640,50000
2,1,1,3640,51000
2,1,1,5640,52500
2,1,1,3600,52500
2,1,1,3600,54000
4,1,2,4632,59000
3,2,2,3640,60000
2,1,2,4900,63000
4,1,2,4510,64000
2,2,1,4100,64900
3,1,2,3640,65000
3,1,2,5680,66000
3,1,1,6300,70000
3,1,2,4000,65500
3,1,2,3960,57000
3,1,2,5960,52000
2,1,1,5830,54000
4,2,1,4500,74500
3,2,3,4100,90000
2,1,1,6750,45000
3,1,2,9000,45000
3,1,2,2550,65000
3,1,2,7152,55000
4,1,2,6450,62000
2,1,1,3360,30000
2,1,1,3264,34000
3,1,1,4000,38000
3,1,2,4000,39000
2,1,1,3069,45000
2,1,1,4040,47000
2,1,1,4040,47500
2,1,1,3185,49000
2,1,1,5900,50000
3,1,2,3120,50000
2,1,1,5450,52900
2,1,1,4040,53000
2,1,1,4080,55000
3,1,1,8080,56000
2,1,2,4040,58500
3,1,2,4080,59500
3,1,1,5800,60000
2,1,1,5885,64000
4,2,2,9667,67000
4,2,2,3420,68100
2,1,1,5800,70000
4,1,2,7600,72000
3,1,1,5400,57500
4,2,1,4995,69900
3,1,2,3000,70000
3,2,1,5500,75000
3,2,1,6450,76900
4,1,4,6210,78000
3,1,4,5000,80000
3,1,3,5000,82000
4,1,4,5828,83000
3,1,3,5200,83000
3,1,3,5500,83900
3,2,3,6350,88500
3,2,3,8250,93000
3,1,1,6000,98000
3,2,1,7700,98500
3,2,2,8880,99000
2,1,1,8880,101000
3,2,4,6480,110000
3,2,4,7000,115442
3,1,1,8875,120000
3,2,1,7155,124000
4,4,4,8960,175000
2,1,1,7350,50000
2,1,1,3850,55000
3,1,1,7000,60000
2,1,1,7770,61000
3,2,1,7440,106000
3,3,1,7500,155000
4,1,2,8100,141000
3,1,2,3900,62500
3,1,3,2970,70000
3,1,2,3000,73000
2,1,1,10500,80000
3,2,2,5500,80000
3,1,4,4500,88000
3,1,1,3850,49000
3,2,2,4130,52000
3,1,2,4046,59500
3,1,3,4079,60000
3,1,2,4000,64000
3,1,1,9860,64500
3,1,2,7000,68500
3,1,1,7980,78500
2,1,1,6800,86000
6,2,2,4300,86900
3,1,1,10269,75000
3,1,3,6100,78000
3,2,3,6420,95000
4,2,2,12090,97000
3,1,4,6600,107000
4,2,2,6600,130000
4,3,4,8580,145000
3,2,2,9960,175000
3,1,2,10700,72000
3,1,1,15600,84900
2,1,1,13200,99000
4,2,4,9000,114000
5,2,2,7950,120000
5,3,2,16200,145000
3,2,1,6100,79000
3,1,1,6360,82000
3,1,1,6420,85000
4,2,3,6360,100500
4,2,2,6540,122000
3,2,2,6420,126500
4,2,2,6550,133000
3,2,4,5750,140000
4,2,3,7420,190000
3,1,1,7160,84000
3,2,2,4000,97000
4,2,4,9000,103500
3,1,2,6550,112500
3,1,2,13200,140000
3,1,1,7085,74700
4,2,2,6600,78000
3,1,1,6900,78900
3,1,3,11460,83900
3,1,1,7020,85000
3,1,1,6540,85000
3,1,1,8000,86000
3,1,1,9620,86900
3,2,1,10500,94500
3,1,4,5020,96000
3,2,4,7440,106000
3,1,1,6600,72000
3,1,2,7200,74500
3,2,2,6710,77000
4,2,2,6660,80750
3,1,1,7000,82900
3,1,2,7231,85000
3,1,1,7410,92500
3,1,1,7800,76000
3,1,1,6825,77500
3,1,3,6360,80000
4,2,1,6600,80000
3,2,1,6900,86000
3,1,1,6600,87000
3,1,3,6420,87500
3,2,1,6600,89000
3,2,3,6600,89900
3,1,1,9000,90000
3,2,3,6500,95000
3,2,4,6360,112000
3,1,1,5300,31900
3,2,2,2850,52000
3,1,1,6400,90000
3,1,1,11175,1.00E+05
2,1,1,6750,91700
4,2,2,7500,174500
3,1,2,6000,94700
2,1,1,10240,68000
3,1,2,5136,80000
3,1,2,3400,61100
3,1,2,2880,62900
3,1,2,3840,65500
2,1,2,2870,66000
2,1,1,5320,49500
2,1,1,3512,50000
2,1,1,3480,53500
3,1,1,3600,58550
2,1,2,3520,64500
3,1,2,5320,65000
3,1,1,6040,69000
2,1,2,11410,73000
3,1,2,8400,75000
4,2,1,5300,75000
3,2,2,7800,132000
3,1,2,3520,60000
3,1,2,5360,65000
3,1,2,6862,69000
3,1,1,3520,51900
2,1,2,4050,57000
3,1,1,3520,65000
4,1,2,4400,79500
2,1,2,5720,72500
4,1,2,11440,104900
3,2,3,7482,114900
4,2,2,5500,120000
3,1,2,4320,58000
2,1,2,5400,67000
3,1,1,4320,67000
2,1,1,4815,69000
3,1,1,6100,73000
3,1,1,7980,73500
3,1,1,6050,74900
3,1,2,3800,75000
5,1,2,5400,79500
3,2,4,6000,120900
3,1,1,2398,44555
3,1,2,2145,47000
3,1,2,2145,47600
3,1,3,2145,49000
3,1,2,2610,49000
3,2,2,1950,49000
3,1,3,2145,49500
3,1,3,2275,52000
3,1,3,2856,54000
3,1,2,2015,55000
2,1,2,2176,55000
4,2,1,2145,56000
3,1,3,2145,60000
3,1,1,2787,60500
3,1,2,9500,50000
4,2,2,4990,64900
3,1,3,6670,93000
4,2,1,6254,85000
2,1,1,10360,61500
3,2,1,5500,88500
4,2,1,5450,88000
3,1,3,5500,89000
4,1,3,6000,89500
3,1,1,5700,95000
2,2,4,6600,95500
2,1,1,4000,51500
3,1,1,4880,62900
4,2,2,4880,118500
2,1,1,8050,42900
2,1,1,8100,44100
3,1,1,5880,47000
2,1,1,5880,50000
3,1,1,12944,50000
3,1,1,6020,53000
2,1,1,4050,53000
2,1,1,8400,54000
2,1,1,5600,58500
3,1,1,5985,59000
3,1,1,4500,60000
3,1,2,4920,62900
3,1,1,8250,64000
4,1,4,8400,65000
2,1,1,6440,67900
4,1,4,8100,68500
3,1,1,6720,70000
3,1,2,5948,70500
3,2,1,8150,71500
2,1,1,4800,71900
4,2,2,9800,75000
3,1,1,8520,75000
3,1,3,8372,87000
3,1,2,4040,64000
3,1,2,4646,70000
4,1,2,4775,47500
4,1,2,4950,62600
3,1,2,5010,66000
2,1,1,6060,58900
2,1,1,3584,53000
3,2,3,6000,95000
4,2,4,6000,96500
4,2,2,6240,101000
3,2,2,6000,102000
4,2,4,7680,103000
4,2,4,6000,105000
4,2,4,6000,108000
4,2,4,6000,110000
4,2,4,6000,113000
3,2,4,7475,120000
3,2,4,5150,105000
3,1,4,6325,106000
3,2,4,6000,107500
3,2,3,6000,108000
3,1,4,6000,113750
3,1,4,7000,120000
3,1,1,12900,70000
3,1,1,7686,71000
3,1,3,5000,82000
3,2,4,5800,82000
3,2,4,6000,82500
3,1,3,4800,83000
3,2,3,6500,84000
4,2,2,7320,85000
3,2,4,6525,85000
3,2,4,4800,91500
3,2,4,6000,94000
3,2,4,6000,103000
3,2,2,6000,105000
3,1,2,6000,105000
